Zone,Time Interval,Ratio based on Time Interval (graph),Population,Scenario 2 (24% willing to evacuate),Scenario 2 times Ratio,2 - Evacuate by bus (27%),buses needed for evac (60 ppl per bus),y (bus) = -0.0028xb + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,2 - Evacuate by car (57%),y (car) = -0.0028xc + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,2 - Evacuate by other (16%)
8,12-3am; 9pm-12am,0.07,46399,11135.76,779.5032,210.465864,4,30.40169558,0.9809846594,29.56213405,444.316824,29.74691289,0.9598565033,13,124.720512
8,3-6am; 6-9pm,0.21,46399,11135.76,2338.5096,631.397592,11,29.22308674,0.9429539783,30.75441715,1332.950472,27.25873868,0.8795695098,14.2,374.161536
8,6-9am; 3-6pm,0.42,46399,11135.76,4677.0192,1262.795184,21,27.45517348,0.8859079567,32.73477767,2665.900944,23.52647736,0.7591390196,16.5,748.323072
8,9am-3pm,0.3,46399,11135.76,3340.728,901.99656,15,28.46540963,0.9185056833,31.57302184,1904.21496,25.65919811,0.8279564426,15.1,534.51648
9,12-3am; 9pm-12am,0.07,38788,9309.12,651.6384,175.942368,3,30.49836137,0.9841038163,19.30690613,371.433888,29.95098511,0.9664413899,3.9,104.262144
9,3-6am; 6-9pm,0.21,38788,9309.12,1954.9152,527.827104,9,29.51308411,0.9523114488,19.95145603,1114.301664,27.87095534,0.8993241696,4.2,312.786432
9,6-9am; 3-6pm,0.42,38788,9309.12,3909.8304,1055.654208,18,28.03516822,0.9046228975,21.00322693,2228.603328,24.75091068,0.7986483392,4.7,625.572864
9,9am-3pm,0.3,38788,9309.12,2792.736,754.03872,13,28.87969158,0.9318734982,20.38903353,1591.85952,26.53379334,0.8561773852,4.4,446.83776
10,12-3am; 9pm-12am,0.07,29693,7126.32,498.8424,134.687448,2,30.61387515,0.9878311492,19.23405636,284.340168,30.19484753,0.9743102039,5.3,79.814784
10,3-6am; 6-9pm,0.21,29693,7126.32,1496.5272,404.062344,7,29.85962544,0.9634934477,19.71990577,853.020504,28.60254259,0.9229306118,5.6,239.444352
10,6-9am; 3-6pm,0.42,29693,7126.32,2993.0544,808.124688,13,28.72825087,0.9269868953,20.49651413,1706.041008,26.21408518,0.8458612235,6.1,478.888704
10,9am-3pm,0.3,29693,7126.32,2137.896,577.23192,10,29.37475062,0.9478477824,20.04541273,1218.60072,27.57891798,0.8899008739,5.8,342.06336
11,12-3am; 9pm-12am,0.07,27530,6607.2,462.504,124.87608,2,30.64134698,0.9887175947,27.30810107,263.62728,30.25284362,0.9761815887,5.1,74.00064
11,3-6am; 6-9pm,0.21,27530,6607.2,1387.512,374.62824,6,29.94204093,0.966152784,27.9458906,790.88184,28.77653085,0.9285447662,5.3,222.00192
11,6-9am; 3-6pm,0.42,27530,6607.2,2775.024,749.25648,12,28.89308186,0.9323055679,28.96046203,1581.76368,26.5620617,0.8570895323,5.8,444.00384
11,9am-3pm,0.3,27530,6607.2,1982.16,535.1832,9,29.49248704,0.9516468342,28.37186972,1129.8312,27.82747264,0.8979210945,5.5,317.1456
12,12-3am; 9pm-12am,0.07,15883,3811.92,266.8344,72.045288,1,30.78927319,0.9934907939,24.15724448,152.095608,30.5651323,0.9862583427,2.9,42.693504
12,3-6am; 6-9pm,0.21,15883,3811.92,800.5032,216.135864,4,30.38581958,0.9804723817,24.47799698,456.286824,29.71339689,0.958775028,3,128.080512
12,6-9am; 3-6pm,0.42,15883,3811.92,1601.0064,432.271728,7,29.78063916,0.9609447634,24.97542098,912.573648,28.43579379,0.917550056,3.1,256.161024
12,9am-3pm,0.3,15883,3811.92,1143.576,308.76552,5,30.12645654,0.9721034024,24.68873161,651.83832,29.1658527,0.9411071829,3,182.97216
