Zone,Time Interval,Ratio based on Time Interval (graph),Population,Scenario 2 (24% willing to evacuate),Scenario 2 times Ratio,2 - Evacuate by bus (27%),buses needed for evac (60 ppl per bus),y (bus) = -0.0028xb + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,2 - Evacuate by car (57%),y (car) = -0.0028xc + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,2 - Evacuate by other (16%)
1,12-3am; 9pm-12am,0.07,80879,19410.96,1358.7672,366.867144,6,29.963772,0.9668539898,27.58086221,774.497304,28.82240755,0.9300250895,4.8,217.402752
1,3-6am; 6-9pm,0.21,80879,19410.96,4076.3016,1100.601432,18,27.90931599,0.9005619693,29.61114013,2323.491912,24.48522265,0.7900752685,5.7,652.208256
1,6-9am; 3-6pm,0.42,80879,19410.96,8152.6032,2201.202864,37,24.82763198,0.8011239386,33.28656826,4646.983824,17.97944529,0.580150537,7.8,1304.416512
1,9am-3pm,0.3,80879,19410.96,5823.288,1572.28776,26,26.58859427,0.8579456704,31.08199923,3319.27416,21.69703235,0.7001075264,6.4,931.72608
2,12-3am; 9pm-12am,0.07,46692,11206.08,784.4256,211.794912,4,30.39797425,0.9808645815,22.93894634,447.122592,29.73905674,0.9596030055,6.1,125.508096
2,3-6am; 6-9pm,0.21,46692,11206.08,2353.2768,635.384736,11,29.21192274,0.9425937446,23.87030481,1341.367776,27.23517023,0.8788090164,6.7,376.524288
2,6-9am; 3-6pm,0.42,46692,11206.08,4706.5536,1270.769472,21,27.43284548,0.8851874892,25.41834388,2682.735552,23.47934045,0.7576180328,7.8,753.048576
2,9am-3pm,0.3,46692,11206.08,3361.824,907.69248,15,28.44946106,0.9179910637,24.51004251,1916.23968,25.6255289,0.8268700234,7.1,537.89184
3,12-3am; 9pm-12am,0.07,30665,7359.6,515.172,139.09644,2,30.60152997,0.987432802,30.38181427,293.64804,30.16878549,0.9734692487,5.8,82.42752
3,3-6am; 6-9pm,0.21,30665,7359.6,1545.516,417.28932,7,29.8225899,0.9622984061,31.17536079,880.94412,28.52435646,0.9204077462,6.2,247.28256
3,6-9am; 3-6pm,0.42,30665,7359.6,3091.032,834.57864,14,28.65417981,0.9245968122,32.4465752,1761.88824,26.05771293,0.8408154925,6.7,494.56512
3,9am-3pm,0.3,30665,7359.6,2207.88,596.1276,10,29.32184272,0.9461405802,31.70776165,1258.4916,27.46722352,0.8862967804,6.4,353.2608
4,12-3am; 9pm-12am,0.07,60793,14590.32,1021.3224,275.757048,5,30.21888027,0.9750856786,22.56211991,582.153768,29.36096945,0.9474030993,5.3,163.411584
4,3-6am; 6-9pm,0.21,60793,14590.32,3063.9672,827.271144,14,28.6746408,0.9252570358,23.77717666,1746.461304,26.10090835,0.8422092978,6,490.234752
4,6-9am; 3-6pm,0.42,60793,14590.32,6127.9344,1654.542288,28,26.35828159,0.8505140716,25.86670901,3492.922608,21.2108167,0.6844185956,7.4,980.469504
4,9am-3pm,0.3,60793,14590.32,4377.096,1181.81592,20,27.68191542,0.8932243369,24.62987079,2494.94472,24.00515478,0.7745847112,6.5,700.33536
5,12-3am; 9pm-12am,0.07,32185,7724.4,540.708,145.99116,2,30.58222475,0.9868098723,17.22722936,308.20356,30.12803003,0.9721541748,5,86.51328
5,3-6am; 6-9pm,0.21,32185,7724.4,1622.124,437.97348,7,29.76467426,0.9604296169,17.70041209,924.61068,28.4020901,0.9164625245,5.3,259.53984
5,6-9am; 3-6pm,0.42,32185,7724.4,3244.248,875.94696,15,28.53834851,0.9208592337,18.46101921,1849.22136,25.81318019,0.8329250489,5.8,519.07968
5,9am-3pm,0.3,32185,7724.4,2605.32,703.4364,12,29.02137808,0.9364453577,18.15375543,1485.0324,26.83290928,0.8658290884,5.6,416.8512
6,12-3am; 9pm-12am,0.07,36185,8684.4,607.908,164.13516,3,30.53142155,0.9851705835,30.45157915,346.50756,30.02077883,0.968693454,6,97.26528
6,3-6am; 6-9pm,0.21,36185,8684.4,1823.724,492.40548,8,29.61226466,0.9555117504,31.39678815,1039.52268,28.0803365,0.9060803619,6.4,291.79584
6,6-9am; 3-6pm,0.42,36185,8684.4,3647.448,984.81096,16,28.23352931,0.9110235008,32.92999574,2079.04536,25.16967299,0.8121607238,7.2,583.59168
6,9am-3pm,0.3,36185,8684.4,2605.32,703.4364,12,29.02137808,0.9364453577,32.036039,1485.0324,26.83290928,0.8658290884,6.7,416.8512
7,12-3am; 9pm-12am,0.07,25908,6217.92,435.2544,117.518688,2,30.66194767,0.9893823263,40.42926474,248.095008,30.29633398,0.977584911,5.8,69.640704
7,3-6am; 6-9pm,0.21,25908,6217.92,1305.7632,352.556064,6,30.00384302,0.9681469788,41.31604072,744.285024,28.90700193,0.9327547331,6.1,208.922112
7,6-9am; 3-6pm,0.42,25908,6217.92,2611.5264,705.112128,12,29.01668604,0.9362939577,42.7216257,1488.570048,26.82300387,0.8655094662,6.5,417.844224
7,9am-3pm,0.3,25908,6217.92,1865.376,503.65152,8,29.58077574,0.954495684,41.90694696,1063.26432,28.0138599,0.903935333,6.3,298.46016
